🚀 数据加载：15 只，2022-06-01 ~ 2026-08-27 ...
00:20:08 [INFO] core.data_loader.freestockdb: 🔗 已连接到 free-stockdb 本地服务: 127.0.0.1:7899
00:20:08 [INFO] core.data_loader.freestockdb: 📊 批量加载: 15 只股票，1031 个交易日
00:20:08 [INFO] core.data_loader.freestockdb: ✅ 成功加载 15 只股票，1031 个交易日
00:20:08 [INFO] core.data_loader.freestockdb: 📅 日期范围: 2022-06-01 00:00:00 至 2026-08-27 00:00:00
✅ 数据加载完成：1031 交易日，耗时 0.6s
🎯 模式: 标准 风控=0.3 止损=None
📈 趋势线过滤器已启用: multi（multi 阈值=2）
00:20:15 [INFO] core.backtest.pipeline: 开始回测: 2022-06-02 至 2026-08-27
00:20:15 [INFO] core.backtest.pipeline: 初始资金: 500,000.00 元
00:20:15 [INFO] core.backtest.pattern_mixin: 📚 形态信号索引预加载完成：106602 条 / 52852 个(股票×日期)组合

======================================================================
📊 完整交易汇总（共 2051 笔）
  策略：SimpleStrategy
======================================================================
日期           股票       操作           价格     数量            总资产      总仓位
2023-02-16   002156   BUY       21.35    400     578,411.00    89.8%
2023-02-16   002428   BUY       10.57    100     578,411.00    90.0%
2023-02-17   002309   BUY        5.12    100     570,221.00    89.9%
2023-02-20   002309   SELL       5.04    100     584,340.00    90.1%
2023-02-23   002918   SELL      18.55   2300     584,433.00    82.8%
2023-02-23   600487   BUY       14.44   1400     584,433.00    86.2%
2023-02-23   002281   BUY       21.39    500     584,433.00    88.1%
2023-02-23   002735   BUY       18.06    600     584,433.00    89.9%
2023-03-01   300502   SELL      11.99    200     594,794.00    89.7%
2023-03-01   000566   BUY        4.65    100     594,794.00    89.8%
2023-03-01   002428   BUY       11.75    100     594,794.00    90.0%
2023-03-02   300502   SELL      12.08    100     593,204.00    89.8%
2023-03-02   300293   BUY       10.28    100     593,204.00    89.9%
2023-03-07   300293   BUY       10.12    100     582,947.00    89.9%
2023-03-10   300293   BUY       10.84    100     574,264.00    90.0%
2023-03-13   600487   SELL      14.20   5400     577,772.00    76.7%
2023-03-13   300502   BUY       11.44   1300     577,772.00    79.3%
2023-03-13   002156   BUY       22.17    600     577,772.00    81.6%
2023-03-13   002428   BUY       10.91   1300     577,772.00    84.1%
2023-03-13   002309   BUY        4.75   3100     577,772.00    86.6%
2023-03-13   002792   BUY       11.41   1300     577,772.00    89.2%
2023-03-13   300620   BUY       28.08    100     577,772.00    89.7%
2023-03-13   300293   BUY       11.30    100     577,772.00    89.9%
2023-03-23   002156   SELL      25.01   2400     610,357.00    80.6%
2023-03-23   002428   BUY       11.14   1800     610,357.00    83.9%
2023-03-23   300502   BUY       14.08   1700     610,357.00    87.8%
2023-03-23   300620   BUY       30.99    400     610,357.00    89.8%
2023-03-23   000566   BUY        4.64    200     610,357.00    90.0%
2023-03-24   002281   SELL      25.74    400     611,072.00    88.3%
2023-03-24   002156   BUY       24.59    400     611,072.00    89.9%
2023-03-27   002281   SELL      27.05    200     618,232.00    89.1%
2023-03-27   002428   BUY       11.34    400     618,232.00    89.9%
2023-03-27   000566   BUY        4.68    100     618,232.00    90.0%
2023-03-28   002309   BUY        5.26    100     611,558.00    89.9%
2023-03-29   002281   SELL      25.75    100     621,737.00    89.7%
2023-03-29   002309   BUY        5.30    300     621,737.00    89.9%
2023-03-30   002428   BUY       11.21    100     609,144.00    89.9%
2023-03-31   002281   SELL      25.59    100     634,655.00    89.9%
2023-03-31   300502   SELL      17.53   1500     634,655.00    85.8%
2023-03-31   002156   BUY       22.02    700     634,655.00    88.2%
2023-03-31   002281   BUY       25.59    400     634,655.00    89.8%
2023-03-31   002309   BUY        5.17    200     634,655.00    90.0%
2023-04-03   300502   SELL      21.04    800     651,126.00    87.6%
2023-04-03   002735   SELL      15.43   1900     651,126.00    83.1%
2023-04-03   002156   BUY       22.58    600     651,126.00    85.2%
2023-04-03   002281   BUY       27.52    500     651,126.00    87.3%
2023-04-03   002792   BUY       11.87   1300     651,126.00    89.7%
2023-04-03   002918   BUY       17.87    100     651,126.00    90.0%
2023-04-04   300502   SELL      22.31    400     644,164.00    88.5%
2023-04-04   002156   BUY       22.76    400     644,164.00    89.9%
2023-04-04   002309   BUY        5.02    100     644,164.00    90.0%
2023-04-06   300620   SELL      36.37    800     672,747.00    86.1%
2023-04-06   300502   SELL      23.82    200     672,747.00    85.4%
2023-04-06   002156   BUY       23.69    700     672,747.00    87.8%
2023-04-06   002309   BUY        5.07   2800     672,747.00    90.0%
2023-04-07   300502   SELL      25.38    100     668,857.00    89.5%
2023-04-07   002156   BUY       24.30    100     668,857.00    89.9%
2023-04-07   002309   BUY        5.00    100     668,857.00    90.0%
2023-04-10   300620   SELL      36.37    400     652,055.00    87.5%
2023-04-10   002156   BUY       22.80    700     652,055.00    89.9%
2023-04-10   002309   BUY        4.89    100     652,055.00    90.0%
2023-04-11   300620   SELL      35.24    200     654,484.00    88.9%
2023-04-11   002156   BUY       22.52    300     654,484.00    90.0%
2023-04-12   002309   SELL       4.85   6800     652,716.00    84.9%
2023-04-12   002428   BUY       11.83   1200     652,716.00    87.1%
2023-04-12   002918   BUY       18.88    900     652,716.00    89.7%
2023-04-12   600522   BUY       16.51    100     652,716.00    89.9%
2023-04-13   002918   SELL      18.74   1000     642,233.00    86.8%
2023-04-13   002156   BUY       21.62    700     642,233.00    89.2%
2023-04-13   002281   BUY       25.81    100     642,233.00    89.6%
2023-04-13   002309   BUY        4.78    500     642,233.00    90.0%
2023-04-14   300620   SELL      37.23    100     650,541.00    89.5%
2023-04-14   002156   BUY       22.38    100     650,541.00    89.9%
2023-04-14   002309   BUY        4.88    100     650,541.00    90.0%
2023-04-17   002281   SELL      25.45   1100     645,482.00    85.5%
2023-04-17   600522   SELL      15.33    300     645,482.00    84.8%
2023-04-17   002428   BUY       11.50   1100     645,482.00    86.8%
2023-04-17   002156   BUY       22.51    700     645,482.00    89.2%
2023-04-17   300502   BUY       25.24    100     645,482.00    89.6%
2023-04-17   002309   BUY        4.91    500     645,482.00    90.0%
2023-04-18   300502   SELL      28.89    100     643,033.00    89.5%
2023-04-18   002156   BUY       21.57    100     643,033.00    89.8%
2023-04-18   002309   BUY        4.78    200     643,033.00    90.0%
2023-04-19   002309   BUY        4.62    100     637,965.00    90.0%
2023-04-21   002156   BUY       19.75    100     615,016.00    89.9%
2023-04-25   002309   BUY        4.68    200     606,821.00    90.0%
2023-04-26   002309   BUY        4.71    200     599,216.00    90.0%
2023-05-08   002792   SELL      11.04   3500     602,924.00    83.6%
2023-05-08   002428   BUY       11.66   1000     602,924.00    85.6%
2023-05-08   002735   BUY       13.58   1100     602,924.00    88.0%
2023-05-08   002918   BUY       15.36    700     602,924.00    89.8%
2023-05-08   300293   BUY       10.52    100     602,924.00    90.0%
2023-05-10   002792   BUY       10.62    100     592,195.00    90.0%
2023-05-24   002156   SELL      20.50   8100     601,432.00    62.5%
2023-05-24   002281   BUY       25.05    400     601,432.00    64.2%
2023-05-24   002735   BUY       13.51    900     601,432.00    66.2%
2023-05-24   002428   BUY       10.41   1500     601,432.00    68.8%
2023-05-24   300502   BUY       23.17    500     601,432.00    70.8%
2023-05-24   300620   BUY       46.46    300     601,432.00    73.1%
2023-05-25   002428   BUY       10.25   3900     596,816.00    79.6%
2023-05-25   300502   BUY       24.78    900     596,816.00    83.3%
2023-05-25   002735   BUY       13.44   1300     596,816.00    86.2%
2023-05-25   002156   BUY       21.05    700     596,816.00    88.7%
2023-05-25   300620   BUY       45.27    100     596,816.00    89.5%
2023-05-25   600487   BUY       14.14    200     596,816.00    89.9%
2023-05-29   300620   SELL      58.70    200     627,498.00    88.5%
2023-05-29   002735   BUY       13.10    600     627,498.00    89.8%
2023-05-29   002792   BUY       10.85    100     627,498.00    90.0%
2023-05-30   300620   SELL      58.99    100     632,083.00    89.1%
2023-05-30   002792   BUY       11.16    500     632,083.00    90.0%
2023-05-31   300620   SELL      55.61    100     621,647.00    88.9%
2023-05-31   002156   BUY       24.66    200     621,647.00    89.7%
2023-05-31   002735   BUY       12.88    100     621,647.00    89.9%
2023-06-06   002428   BUY       10.07    100     615,554.00    90.0%
2023-06-07   600487   SELL      13.76    200     617,076.00    89.6%
2023-06-07   002156   BUY       24.69    100     617,076.00    90.0%
2023-06-13   300502   SELL      31.11    700     633,035.00    86.8%
