date,total_asset,cash,market_value,frozen_cash,daily_return,cum_return,max_drawdown
2025-09-08,481552.0,481552.0,0.0,1206338.0,0.0,-0.03689600000000004,-0.0391220000000001
2025-09-09,481552.0,481552.0,0.0,1206338.0,0.0,-0.03689600000000004,-0.0391220000000001
2025-09-10,481552.0,445012.0,36540.0,1242878.0,0.0,-0.03689600000000004,-0.0391220000000001
2025-09-11,483910.0,445012.0,38898.0,1242878.0,0.00489666744193773,-0.032179999999999986,-0.03440600000000005
2025-09-12,484216.0,445012.0,39204.0,1242878.0,0.0006323489905146751,-0.03156800000000004,-0.0337940000000001
2025-09-15,483307.0,445012.0,38295.0,1242878.0,-0.0018772613874800115,-0.03338600000000003,-0.03561200000000009
2025-09-16,484414.0,445012.0,39402.0,1242878.0,0.0022904696186896167,-0.031171999999999978,-0.03339800000000004
2025-09-17,484261.0,100493.0,383768.0,1587397.0,-0.00031584553708197127,-0.031478000000000006,-0.03370400000000007
2025-09-18,485317.0,100493.0,384824.0,1587397.0,0.002180642256964793,-0.029366000000000003,-0.031592000000000064
2025-09-19,481181.0,100493.0,380688.0,1587397.0,-0.008522264828967452,-0.03763799999999995,-0.03986400000000001
2025-09-22,492005.0,100493.0,391512.0,1587397.0,0.02249465377893145,-0.01598999999999995,-0.01821600000000001
2025-09-23,478717.0,100493.0,378224.0,1587397.0,-0.02700785561122343,-0.04256599999999999,-0.044792000000000054
2025-09-24,482853.0,482853.0,0.0,1587397.0,0.008639760025234144,-0.03429400000000005,-0.03652000000000011
2025-09-25,482853.0,482853.0,0.0,1587397.0,0.0,-0.03429400000000005,-0.03652000000000011
2025-09-26,482853.0,482853.0,0.0,1587397.0,0.0,-0.03429400000000005,-0.03652000000000011
2025-09-29,482853.0,482853.0,0.0,1587397.0,0.0,-0.03429400000000005,-0.03652000000000011
2025-09-30,482853.0,482853.0,0.0,1587397.0,0.0,-0.03429400000000005,-0.03652000000000011
2025-10-09,482853.0,482853.0,0.0,1587397.0,0.0,-0.03429400000000005,-0.03652000000000011
2025-10-10,482853.0,482853.0,0.0,1587397.0,0.0,-0.03429400000000005,-0.03652000000000011
2025-10-13,482853.0,482853.0,0.0,1587397.0,0.0,-0.03429400000000005,-0.03652000000000011
2025-10-14,482853.0,482853.0,0.0,1587397.0,0.0,-0.03429400000000005,-0.03652000000000011
2025-10-15,482853.0,482853.0,0.0,1587397.0,0.0,-0.03429400000000005,-0.03652000000000011
2025-10-16,482853.0,482853.0,0.0,1587397.0,0.0,-0.03429400000000005,-0.03652000000000011
2025-10-17,482853.0,482853.0,0.0,1587397.0,0.0,-0.03429400000000005,-0.03652000000000011
2025-10-20,482853.0,482853.0,0.0,1587397.0,0.0,-0.03429400000000005,-0.03652000000000011
2025-10-21,482853.0,482853.0,0.0,1587397.0,0.0,-0.03429400000000005,-0.03652000000000011
2025-10-22,482853.0,482853.0,0.0,1587397.0,0.0,-0.03429400000000005,-0.03652000000000011
2025-10-23,482853.0,482853.0,0.0,1587397.0,0.0,-0.03429400000000005,-0.03652000000000011
2025-10-24,482853.0,482853.0,0.0,1587397.0,0.0,-0.03429400000000005,-0.03652000000000011
2025-10-27,482853.0,482853.0,0.0,1587397.0,0.0,-0.03429400000000005,-0.03652000000000011
2025-10-28,482853.0,482853.0,0.0,1587397.0,0.0,-0.03429400000000005,-0.03652000000000011
2025-10-29,482853.0,482853.0,0.0,1587397.0,0.0,-0.03429400000000005,-0.03652000000000011
2025-10-30,482853.0,482853.0,0.0,1587397.0,0.0,-0.03429400000000005,-0.03652000000000011
2025-10-31,482853.0,444198.0,38655.0,1626052.0,0.0,-0.03429400000000005,-0.03652000000000011
2025-11-03,482250.0,444198.0,38052.0,1626052.0,-0.0012488272828375946,-0.035499999999999976,-0.03772600000000004
